mapel,kehadiran,nilai_mapel,hasil_akhir
pai_10,95,83,lulus
pai_10,97,89,lulus
pai_10,80,80,recourse
pai_10,70,76,lulus
pai_10,92,82,lulus
pai_10,81,78,recourse
pai_10,78,63,recourse
pai_10,80,79,lulus
pai_10,78,82,recourse
pai_10,83,79,lulus
pai_10,90,78,lulus
pai_10,90,80,lulus
pai_10,90,84,lulus
pai_10,87,82,lulus
pai_10,88,77,lulus
pai_10,93,83,lulus
pai_10,80,77,lulus
pai_10,100,82,lulus
pai_10,82,83,lulus
pai_10,77,80,lulus
pai_10,93,90,lulus
pai_10,86,84,lulus
pai_10,93,84,lulus
pai_10,88,82,lulus
pai_10,98,89,lulus
pai_10,95,84,lulus
pai_10,95,83,lulus
pai_10,85,87,lulus
pai_10,90,60,lulus
pai_10,91,83,lulus
pai_10,100,89,lulus
pai_10,100,91,lulus
pai_10,96,83,lulus
pai_10,97,87,lulus
pai_10,78,76,recourse
pai_10,98,80,lulus
pai_10,90,88,lulus
pai_10,90,84,lulus
pai_10,75,79,recourse
pai_10,95,81,lulus
pai_10,95,86,lulus
pai_10,100,90,lulus
pai_10,100,89,lulus
pai_10,88,80,lulus
pai_10,78,84,lulus
pai_10,96,64,lulus
pai_10,95,85,lulus
pai_10,92,79,lulus
pai_10,94,89,lulus
pai_10,88,82,lulus
pai_10,100,88,lulus
pai_10,94,83,lulus
pai_10,100,90,lulus
pai_10,90,84,lulus
pai_10,100,93,lulus
pai_10,100,91,lulus
pai_10,100,82,lulus
pai_10,90,78,lulus
pai_10,87,83,lulus
pai_10,82,75,lulus
pai_10,80,82,lulus
pai_10,60,82,recourse
pai_10,90,87,lulus
pai_10,100,91,lulus
pai_10,90,82,lulus
pai_10,80,61,lulus
pai_10,82,70,recourse
pai_10,85,82,lulus
pai_10,84,80,lulus
pai_10,100,83,lulus
pai_10,100,84,lulus
pai_10,85,80,lulus
pai_10,100,88,lulus
pai_10,90,83,lulus
pai_10,90,77,lulus
pai_10,90,85,lulus
pai_10,70,76,lulus
pai_10,90,87,lulus
pai_10,96,83,lulus
pai_10,85,88,lulus
pai_10,85,87,recourse
pai_10,100,88,lulus
pai_10,90,78,recourse
pai_10,75,75,lulus
bahasa_10,95,84,lulus
